,Song_Lyrics,Happy,Angry,Surprise,Sad,Fear
74,cherry youve been lookin at my man and youre makin me feel real bad real real sad real real sad che che che che cherry can you tell me how this happen cause im goin insane i thought we were everlastin how did it get this way you knew that this shit would hurt me you cause my heart to break you pulled this stunt a million times but never quite this way how can you look at my face if you got nothin to say through all the ups and the downs how could you do me this way you know i trusted you you know i trusted you do you feel any shame thought we were one and the same gave you the shirt off my back gave you the key to my place you know i trusted you but now im done with you che che che che cherry cherry youve been lookin at my man and youre makin me feel real bad real real sad oh oh oh real real sad oh oh oh che che che che cherry cherry you just took him by the hand now hes never ever comin back just like that oh oh oh he never came back oh oh oh che che che che cherry i am not the one to tell you how to live your life but you can have my sloppy seconds keepin mine alright how can you look at my face if you got nothin to say through all the ups and the downs how could you do me this way you know i trusted you you know i trusted you do you feel any shame thought we were one and the same gave you the shirt off my back gave you the key to my place you know i trusted you but now im done with you che che che che cherry cherry youve been lookin at my man and youre makin me feel real bad real real sad oh oh oh real real sad oh oh oh che che che che cherry cherry you just took him by the hand now hes never ever comin back just like that oh oh oh he never came back oh oh oh che che che che cherry ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh che che che che cherry ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh che che che che cherry cherry youve been lookin at my man and youre makin me feel real bad real real sad oh oh oh real real sad oh oh oh che che che che cherry cherry you just took him by the hand now hes never ever comin back just like that oh oh oh he never came back oh oh oh che che che che cherry cherry youve been lookin at my man and youre makin me feel real bad real real sad oh oh oh real real sad oh oh oh che che che che cherry cherry you just took him by the hand now hes never ever comin back just like that oh oh oh he never came back oh oh oh che che che che cherry,0.0,0.0,0.39,0.46,0.16
75,you call me all friendly tellin me how much you miss me thats funny i guess youve heard my songs well trop occupée pour técouter va trouver quelquun dautre à saouler comme quoi je nétais pas la seule à avoir le dos tourné moi jai fait le tour de tous tes mensonges et tu voudrais quon se lance ton amour je men lave les mains et tu ten mords les doigts oui jai fait le tour de tous tes mensonges pas moyen que je replonge je veux te dire une dernière fois you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck tu mamuses tu accuses lalcool cest ça ton excuse est ce quil y a des filles que ça amuse mec tu taccroches je raccroche même quand tes loin tes tout proche le pardon est un don dont je ne me servirai pas moi jai fait le tour de tous tes mensonges et tu voudrais quon se lance ton amour je men lave les mains et tu ten mords les doigts oui jai fait le tour de tous tes mensonges pas moyen que je replonge je veux te dire une dernière fois you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck je me fous de cquelle te dit je me fous que ton cœur vrille boy i dont give a fuck mais quest ce que tas pas compris comment faut qujte ldise boy i dont give a fuck je men fous de tes états dâme viens pas faire un caprice viens pas en faire un drame ravale tes mots doux ils font partie du passé tu peux faire demi tour je ne reviendrai pas oui jai fait le tour de tous tes mensonges pas moyen que je replonge je veux te dire une dernière fois ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck je me fous de cquelle te dit je me fous que ton cœur vrille boy i dont give a fuck mais quest ce que tas pas compris comment faut qujte ldise boy i dont give a fuck,0.25,0.09,0.06,0.28,0.31
76,cigarettes on cigarettes cigarettes on cigarettes cigarettes on cigarettes cigarettes on cigarettes cigarettes on cigarettes my mama think i stank i got burn holes in my hoodies all my homies think its dank i miss my cocoa butter kisses i miss my cocoa butter kisses okie dokie alchy keep it low key like thor lil bro or hell go blow the loudy saudy of sour saudi wiley up off peyote wilding like that coyote if i sip any henny my belly just might be outie pull up inside a huggy starsky hutch a dougie i just opened up the pack in an hour ill ash my lucky she just yelling fuck me two weeks shell be yelling fuck me tonight she yelling fuck me two weeks shell be yelling fuck me used to like orange cassette tapes with timmy tommy and chuckie and chuck e cheeses pizzas jesus pieces sing jesus love me visine inside my eyes so my grandma would fucking hug me oh generation above me yeah i know you still remember me cigarettes on cigarettes cigarettes on cigarettes cigarettes on cigarettes cigarettes on cigarettes i will smoke a little something but i dont inhale everywhere that i go everywhere they be asking hows it going say the going gets well go figure victors light skinned jesus got me feeling like colin powell all praise to the god god knows hes a pro hes a pro like cointel check checkmate check me take me to the bedroom let me know me well i mean normally you see norma jean wouldnt kick it with farmer phil but these kids these days they get so high burn trees smoke chlorophyll til they cant feel got me feeling like lauryn hill miseducated my dick delegated rap bill bellamy they shoulda never made it probably been dead or in jail deadbeat dad enough of that jazz asshole absinthe up in that glass are we there yet ice cubes in a bong were brain dead take a tug and then pass then pass i think we all addicted i think we all addicted yeah i think we all addicted i think we all addicted cigarettes on cigarettes cigarettes on cigarettes cigarettes on cigarettes cigarettes on cigarettes cigarettes on cigarettes my mama think i stank i got burn holes in my hoodies all my homies think its dank i miss my cocoa butter kisses i miss my cocoa butter kisses cigarettes on cigarettes my mama think i stank i got burn holes in my hoodies all my homies think its dank cocoa butter kisses i miss my cocoa butter kisses yeah,0.21,0.07,0.21,0.43,0.07
77,lyrics from snippet when i put my hands in the air look look i move like this when i put my leg up back forth back look look i move like this when i let my hips sink way way down look look i feel like this when i flip my hair like up down to the middle im a rockstar just a little pay attention grow up im educatin good girl when i met your mother true love one way or another i feel let down just a little bit one day we partied we livin the next im down in my feelings so hurt my heart is a bleeding why why dont you love me why why dont you love me why why dont you lovе me anymore anymore w why why dont you lovе me why why dont you love me why why dont you love me anymore anymore whod hurt me in a world like this whod hurt me in a world like this you hurt me in a world like this youre dead when i say so whod hurt me in a world like this whod hurt me in a world like this you hurt me in a world like this youre dead when i say so,0.3,0.05,0.1,0.55,0.0
78,talkin in my sleep at night makin myself crazy wrote it down and read it out hopin it would save me oh he makes me feel like nobody else nobody else but my love he doesnt love me so i tell myself i tell myself one dont pick up the phone you know hes only calling cause hes drunk and alone two dont let him in you have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint getting over him ive got new rules i count em ive got new rules i count em ive gotta tell them to myself ive got new rules i count em ive gotta tell them to myself i keep pushin forwards but he keeps pullin me backwards now im standing back from it i finally see the pattern but my love he never loves me so i tell myself i tell myself i do i do i do one dont pick up the phone you know hes only calling cause hes drunk and alone two dont let him in you have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint getting over him ive got new rules i count em ive got new rules i count em ive gotta tell them to myself ive got new rules i count em ive gotta tell them to myself practice makes perfect im still tryna learn it by heart eat sleep and breathe it rehearse and repeat it cause i i got new rules i count em baby ive got new rules i count em ive gotta tell them to myself ive got new rules i count em ive gotta tell them to myself ive got new rules i count em ive gotta tell them to myself ive got new rules i count em ive gotta tell them to myself,0.15,0.0,0.05,0.1,0.69
79,my friends are calling since the morning theyve been blowin my phone ive been busy gettin busy for i dont know how long they think im missin but the only thing missin is my clothes my clothes ooh body on a body its heaven in between the sheets touchin you when youre touchin me and you make me say ooh we dont care about it we dont care what time it is well never quit its unlimited ooh lets get it now no sleep baby 25 8 lights off all night all day no clocks cause i like it that way to hell with 24 just give me more 25 8 25 8 lights off all night all day no clocks cause i like it that way to hell with 24 just give me more 25 8 25 8 25 8 25 8 25 8 25 8 25 8 25 8 call it insomnia but this is just the thing that i like cause when youre on me i get hungry got a big appetite wanna feel the rush runnin through my blood baby dont open the blinds all night ooh body on a body its heaven in between the sheets touchin you when youre touchin me and you make me say ooh we dont care about it we dont care what time it is well never quit its unlimited ooh lets get it now no sleep baby 25 8 lights off all night all day no clocks cause i like it that way to hell with 24 just give me more 25 8 25 8 lights off all night all day no clocks cause i like it that way to hell with 24 just give me more i gon need all the extra hours you and me all up in this room you gon need all the extra power zoom zoom zoom zoom zoom we gon need all the extra hours to do the things i want to do we gon need all the extra power zoom zoom zoom zoom zoom ooh body on a body its heaven in between the sheets touchin you when youre touchin me and you make me say ooh we dont care about it we dont care what time it is well never quit its unlimited ooh lets get it now no sleep baby 25 8 lights off all night all day no clocks cause i like it that way to hell with 24 just give me more 25 8 25 8 lights off all night all day no clocks cause i like it that way to hell with 24 just give me more no sleep baby 25 8 lights off all night all day no clocks cause i like it that way to hell with 24 just give me more 25 8 25 8 lights off all night all day no clocks cause i like it that way to hell with 24 just give me more,0.22,0.04,0.28,0.17,0.28
80,im sorry if i seem uninterested or im not listenin or im indifferent truly i aint got no business here but since my friends are here i just came to kick it but really i would rather be at home all by myself not in this room with people who dont even care about my well being i dont dance dont ask i dont need a boyfriend so you can go back please enjoy your party ill be here somewhere in the corner under clouds of marijuana with this boy whos hollering i can hardly hear over this music i dont listen to and i dont wanna get with you so tell my friends that ill be over here oh oh oh here oh oh oh here oh i ask myself what am i doin here oh oh oh here oh oh oh here and i cant wait til we can break up outta here excuse me if i seem a little unimpressed with this an anti social pessimist but usually i dont mess with this and i know you mean only the best and your intentions arent to bother me but honestly id rather be somewhere with my people we can kick it and just listen to some music with a message like we usually do and well discuss our big dreams how we plan to take over the planet so pardon my manners i hope youll understand that ill be her not there in the kitchen with the girl whos always gossiping about her friends so tell them ill be here right next to the boy whos throwin up cause he cant take whats in his cup no more oh god why am i here oh oh oh here oh oh oh here oh i ask myself what am i doin here oh oh oh here oh oh oh here and i cant wait til we can break up outta here hours later congregatin next to the refrigerator some girl talkin bout her haters she aint got none how did it ever come to this i shoulda never come to this so holla at me ill be in the car when youre done im stand offish dont want what youre offerin and im done talkin awfully sad it had to be that way so tell my people when theyre ready that im ready and im standin at the tv with my beanie low yo ill be over here oh oh oh here oh oh oh here ask myself what am i doin here oh oh oh here oh oh oh here hmm oh oh oh here here hmm here here are we over here ,0.17,0.03,0.29,0.34,0.17
81,once there was a way to get back homeward once there was a way to get back home sleep pretty darling do not cry and i will sing a lullaby golden slumbers fill your eyes smiles await you when you rise sleep pretty darling do not cry and i will sing a lullaby and i will sing a lullaby once there was a way to get back homeward once there was a way to get back home sleep pretty darling do not cry and i will sing a lullaby,0.5,0.0,0.12,0.25,0.12
82,the more i love you the more i rip you apart thats what you said when we were arguing i gave you so much love i left none for myself and you took it all away and threw it right back right back you told me im a liar youre acting like a fool im allowed to hang out with my friends and without you youre so in denial and im so over you the more you push my buttons boy the more i see the truth youre so full of that jealousy its running crazy through your body jealousy it makes you wanna hurt somebody its killing me but i wont let it baby i wont let it i wanna love you but youre so full of that jealousy you know it only makes you ugly jealousy you wont let anybody touch me its killing me but i wont let it baby i wont let it i wanna love you but youre so full of that jealousy its you and your ego thats fighting for the crown maybe that is just your insecurity i gave you attention left nothing for myself and you threw it all away and i said fuck that fuck that you told me im a liar youre acting like a fool the more you push my buttons boy the more i see the truth youre so full of that jealousy its running crazy through your body jealousy it makes you wanna hurt somebody its killing me but i wont let it baby i wont let it i wanna love you but youre so full of that jealousy you know it only makes you ugly jealousy you wont let anybody touch me its killing me but i wont let it baby i wont let it i wanna love you but youre being jealous huh turn it louder jealous so jealous you so jealous owww youre so full of that jealousy its running crazy through your body jealousy it makes you wanna hurt somebody its killing me but i wont let it baby i wont let it i wanna love you but youre so full of that jealousy you know it only makes you ugly jealousy you wont let anybody touch me its killing me but i wont let it baby i wont let it i wanna love you but youre so full of that jealousy its runnin crazy through your body jealousy it makes you wanna hurt somebody its killing me but i wont let it baby i wont let it i wanna love you but youre so full of that jealousy you know it only makes you ugly jealousy you wont let anybody touch me its killing me but i wont let it baby i wont let it i wanna love you but youre so full of that jealousy,0.19,0.03,0.13,0.52,0.13
83,were kissin on the concrete floor the third day of the rave berlin summer i knew i loved you then fireworks lit the sky were runnin through a burnin field baby just you and i if i lost you and you lost me if i lost you and you lost me oh yeah ill always remember the way we used to move you and me together all i can see was you its cold in september but you take me back to june berlin summer the memory of you were runnin down the country road in 2018 it was only you and me and nothin in between and the trees are movin in slow motion drunk and dancin if i lost you and you lost me if i lost you and you lost me oh yeah i ll always remember the way we used to move you and me together all i can see was you it s cold in september but you take me back to june berlin summer the memory of you oh yeah yeah oh yeah yeah oh yeah yeah oh yeah hmm oh yeah yeah oh yeah yeah oh yeah yeah oh yeah hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm berlin summer hmm hmm hmm hmm hmm hmm berlin summer if i lost you and you lost me if i lost you and you lost me oh yeah ill always remember the way we used to move you and me together all i can see was you it s cold in september but you take me back to june berlin summer the memory of you hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm hmm,0.3,0.04,0.15,0.48,0.04
84,whys it so much better when were not together whys it feel so good when its a bad bad idea will you protect me from the things that i want will you be down and leave the second were done i got one thing i want i know that its wrong but i like to play with fire ill fuck you with no feelings left cruel intentions in my head hate it but i love the way im feelin kinda reckless i know that we had a past i just want my power back hate it but i love the way im feelin kinda senseless its a bad idea but i cant help myself no i cant help myself its a bad idea but i cant help myself so ill just help myself to you whys it so much better when were not together whys it whys it feel so good when its a bad bad idea the taste of chaos on the tip of my tongue i kinda like the crazy girl ive become its about time that i just have me some fun cause i like to play with fire ill fuck you with no feelings left cruel intentions in my head hate it but i love the way im feelin kinda reckless i know that we had a past i just want my power back hate it but i love the way im feelin kinda senseless its a bad idea but i cant help myself no i cant help myself its a bad idea but i cant help myself so ill just help myself to you whys it so much better when were not together whys it whys it feel so good when its a bad bad idea ha i dont know what makes me feel this way i dont care because i like it i dont know what makes me feel this way but i wont stop because i like it its a bad idea but i cant help myself no i cant help myself its a bad idea but i cant help myself no i cant help myself its a bad idea but i cant help myself so ill just help myself to you whys it so much better when were not together whys it feel so good when its a bad bad idea whys it so much better when were not together whys it feel so good when its a bad bad idea ,0.27,0.06,0.09,0.39,0.18
85,count em count em count em count em count em i got new rules i count em count em count em count em count em count em i got new rules i count em talkin in my sleep at night makin myself crazy out of my mind out of my mind wrote it down and read it out hopin it would save me too many times too many times my love he makes me feel like nobody else nobody else but my love he doesnt love me so i tell myself i tell myself one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i got new rules i count em i keep pushin forwards but he keeps pullin me backwards nowhere to turn no way nowhere to turn no now im standin back from it i finally see the pattern i never learn but my love he doesnt love me so i tell myself i tell myself i do i do i do one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i got new rules i count em yeah aah ah ooh out again aah ooh i got new rules i count em i got new rules i count em i got new rules i count em i got new rules i count em i got new rules i count em i got new rules i count em i got new rules i count em i got new rules i count em outro yeah aah ah ooh out again,0.11,0.0,0.15,0.02,0.72
86,tonight tonight feel my heartbeat its the same old feeling coming over me tonight me tonight feel it buzzing said im never gonna call but tonight i think i might think i might gave my heart a ride bump in the night no one can take me higher know its been a while baby a while do you still feel the fire i saw you dancing with somebody looking like me and you she know how to party but nothing like me and you got that perfect body but she aint got the moves we got something better got that real groove baby major mistake no i never shoulda gone baby i was on the run on the run it was heartbreak i cant stand another day knowing that you are the one youre the one gave my heart a ride bump in the night no one can take me higher know its been a while baby a while do you still feel the fire i saw you dancing with somebody looking like me and you she know how to party but nothing like me and you got that perfect body but she aint got the moves we got something better got that real groove baby dancing with somebody looking like me and you she know how to party but nothing like me and you got that perfect body but she aint got the moves we got something better got that real groove baby real groove real groove we we got that real groove ah lets go ah duas got that real groove kylie woo woo real groove real groove we we got that real groove ah i got that real groove real groove we we got that real groove ah i saw you dancing with somebody looking like me and you she know how to party but nothing like me and you got that perfect body but she aint got the moves we got something better got that real groove baby dancing with somebody looking like me and you she know how to party but nothing like me and you got that perfect body but she aint got the moves we got something better got that real groove baby dancing with somebody looking like me and you she know how to party but nothing like me and you got that perfect body but she aint got the moves we got something better got that real groove baby studio 2054 that real groove baby,0.02,0.0,0.07,0.76,0.15
87,뱉은 숨을 마신 뒤 한숨만 남겨뒀지 네가 나를 떠난 뒤 오늘만 살게 됐지 round and round and round 빌어 네가 뒤돌아보길 sound that makes me high and low 날 보러 와줘 만나도 문제겠지 어떤 말도 없겠으니 그저 마주한 채로 oh oh oh behind the mask yeah who yeah i wonder if youre smiling who yeah ooh yeah i wonder if youre crying let me ask in the mask im lonely but if youre trying say yes ooh yeah 빛을 내기 위해서 나는 다 타버렸어 오직 너를 위해서 내일도 버티겠어 round and round and round 믿어 네가 날 알아보길 sound that makes me high and low 기억해내길 눈물 젖어 있겠지 숨을 머금은 채로 나만 바라보면서 oh oh oh behind the mask yeah who yeah i wonder if youre smiling who yeah ooh yeah i wonder if youre crying let me ask in the mask im lonely but if youre trying say yes ooh yeah ooh ooh ooh ooh 내 이름을 불러줘 ooh ooh ooh ooh 예전처럼 once again ooh ooh ooh ooh 거리를 좁혀줘 운명처럼 twice again rain and pain are falling down but dont cry it will dry 보고 싶어 조금 더 가까이 yeah no mattеr what they say behind the tеxt yeah who yeah behind the mask yeah who yeah i wonder if youre smiling who yeah ooh yeah i wonder if youre crying let me ask in the mask im lonely but if youre trying say yes ooh yeah ooh ooh ooh ooh 내 이름을 불러줘 ooh ooh ooh ooh 예전처럼 once again ooh ooh ooh ooh 거리를 좁혀줘 운명처럼 twice again behind the mask yeah who yeah,0.05,0.0,0.65,0.25,0.04
88,what are we waiting for are you in or out finally i can see what my heart needs now i believe you and me we can work somehow eh eh eh eh hold my hand take a risk til it all falls down is it a sin to commit if so help me now whats a day without a kiss can we live out loud all we ever do is night time lately ive been waiting for a lifetime for too long ive been waiting for the right time baby i wanna be yours i wanna be everything you ever dreamed of i wanna be yours are you lookin at anybody else because i wanna be yours yours yours i wanna be yours hoo ooh ooh ooh ooh feel the rush when we touch electricity feel the heat light me up one hundred degrees this is more than the crush it was meant to be all we ever do is night time lately ive been waiting for a lifetime for too long ive been waiting for the right time baby i wanna be yours i wanna be everything you ever dreamed of i wanna be yours are you lookin at anybody else because i wanna be yours yours youry i wanna be yours hoo ooh ooh ooh ooh i dont wanna be that i dont wanna be that favorite drunken call oh say you will be mine say you will be mine i wanna be yours i wanna be everything you ever dreamed of i wanna be yours are you lookin at anybody else because i wanna be yours youry youry i wanna be yours hoo ooh ooh ooh ooh,0.06,0.0,0.43,0.4,0.11
89,one two three all i can ever be to you is the darkness that we knew and this regret ive got accustomed to once it was so right we were at our high waiting for you in the hotel at night and knew i hadnt met my match but every moment we could snatch i dont know why i got so attached its my responsibility and you dont owe nothing to me but to walk away i have no capacity he walks away the sun goes down he takes the day but im grown and in your way in this blue shade my tears dry on their own i dont understand why do i stress the man when theres so many bigger things at hand we coulda never had it all we had to hit a wall so this is inevitable withdrawal even if i stop wanting you a perspective pushes through ill be some next mans other woman soon i cannot play myself again i should just be my own best friend not fuck myself in the head with stupid men she walks away the sun goes down she takes the day but im grown and in your way in this blue shade my tears dry on their own so we are history your shadow covers me the sky above a blaze i could say no regrets and no emotional debts cause as we kiss goodbye the sun sets so we are history the shadow covers me the sky above a blaze only lovers see he walks away the sun goes down he takes the day but im grown and in your way in this blue shade my tears dry on their own he walks away the sun goes down she takes the day but im grown and in your way and my deep shade my tears dry on their own babe my tears dry on their own,0.15,0.15,0.22,0.26,0.22
90,mmm ive been winnin since i left you left you and you think you sick now you bout to get much sicker cause im lookin in the mirror and that ass got thicker bacon baby heres whats poppin rich with six plus figures ive been there ive been here i just hustle low and pray got a lot up on my plate takin meetings in la glowin up and blowin up thats what im bout to do when its all been happenin since i left you you call me all friendly tellin me how much you miss me thats funny i guess youve heard my songs well im too busy for your business go find a girl who wants to listen cause if you think i was born yesterday you have got me wrong so i cut you off i dont need your love cause i already cried enough ive been done ive been movin on since we said goodbye i cut you off i dont need your love so you can try all you want your time is up ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck i remember that weekend when my best friend caught you creepin you blamed it all on the alcohol so i made my decision cause you made your bed sleep in it play the victim and switch your position im through im done so i cut you off i dont need your love cause i already cried enough ive been done ive been movin on since we said goodbye i cut you off i dont need your love so you can try all you want your time is up ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck i see you tryna get to me i see you beggin on your knees boy i dont give a fuck so stop tryna get to me get up off your knees cause boy i dont give a fuck how it feel how it feel how it feel sign off on our connection then i sign onto a deal shoulda kept it hunnid man you shoulda kept it real cause i realized you fake and you lost all your appeal it dont hurt when i see you with her you was always insecure and believed what you heard cause youve seen that all these niggas tryna see when its they turn but i dont need a cuddle buddy i just cuddle with my fur cut you off i dont need your love so you can try all you want your time is up ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck i see you tryna get to me i see you beggin on your knees boy i dont give a fuck so stop tryna get to me get up off your knees cause boy i dont give a fuck,0.24,0.05,0.07,0.37,0.27
91,if you were standing on a corner with no money in your pants and life fell apart id hold out on my hand to you the best and the worse things in life come free but you can think of me as your best guarantee its true im here for you and if you just breathed your last breath id give you my air til i had nothing left id never let you go if you were on the edge of a bridge id push you to live im your parachute dont you ever forget and if you get the chance to return the gift promise me youll save someone if you can if you can save someone understand understand some have been chosen to wake up the broken so promise you wont turn away oh save someone like a child underneath the light afraid of monsters in the night ill hold you til the dawn til theyre gone no fight for you id fight for you when youre drowing in your tears and no one answers your prays ill be the boat to keep you afloat my dear and if you get the chance to return the gift promise me youll save someone if you can if you can save someone understand understand some have been chosen to wake up the broken so promise you wont turn away oh save someone when youre alone in the darkest nights im there for you when you feel like youre about to cry im there for you i know you got so much strength inside if i ask you would you save me tonight promise me youll save someone if you can if you can save someone understand understand some have been chosen to wake up the broken so promise you wont turn away oh save someone,0.03,0.13,0.26,0.29,0.29
92,you dont know what youve lost til its gone you cant hear the silence up to this lung you cant tie heartstrings when theyre left undone you cant go back when youve left too long i tried to push us to the very end i needed a lover more than a friend but i hit the limit i didnt intend and i just wanna make amends wish that you would hold on hold on hold on hold onto me hold on hold on hold on hold onto me hold on hold on hold on hold onto me now yeah i put myself between a bullet and a heartbreak and now im staring at the emptiness that ive made i put myself between a bullet and a heartbreak and all i wanted was you but i shot love down down down down down down down in the darkness i hear your voice memories of us i feel destroyed my mind is playing tricks and i have no choice without you my heart makes no noise wish that you would hold on hold on hold on hold onto me hold on hold on hold on hold onto me hold on hold on hold on hold onto me now yeah i put myself between a bullet and a heartbreak and now im staring at the emptiness that ive made i put myself between a bullet and a heartbreak and all i wanted was you but i shot love down down down down down down down all i needed was you all i wanted was you all i needed was you i put myself between a bullet and a heartbreak and now im staring at the emptiness that ive made i put myself between a bullet and a heartbreak and all i wanted was you but i shot love down down down down down down down,0.1,0.05,0.1,0.61,0.15
93,talking in my sleep at night making myself crazy wrote it down and read it out hoping it would save me my love he makes me feel like nobody else nobody else but my love he doesnt love me so i tell myself i tell myself one dont pick up the phone you know hes only calling cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint getting over him ive got new rules i count em ive got new rules i count em are you that somebody tell me are you that somebody ive got new rules i count em are you that somebody ive gotta tell them to myself i keep pushing forwards but he keeps pulling me backwards now im standing back from it i finally see the pattern but my love he doesnt love me so i tell myself i tell myself i do i do i do one dont pick up the phone you know hes only calling cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint getting over him ive got new rules i count em ive got new rules i count em are you that somebody tell me are you that somebody ive got new rules i count em are you that somebody ive gotta tell them to myself if i let you know you cant tell nobody im talking bout nobody are you responsible boy i gotta watch my back cause im not just anybody one dont pick up the phone you know hes only calling cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint getting over him i got new rules i count em yeah oh ive got new rules i count em baby hes drunk and alone so dont pick up the phone ive got new rules i count em,0.21,0.0,0.11,0.08,0.61
94,have you got color in your cheeks do you ever get the fear that you cant shift the type that sticks around like summat in your teeth are there some aces up your sleeve have you no idea that youre in deep ive dreamt about you nearly every night this week how many secrets can you keep cause theres this tune i found that makes me think of you somehow and i play it on repeat until i fall asleep spilling drinks on my settee do i wanna know if this feeling flows both ways sad to see you go was sorta hoping that you d stay baby we both know that the nights were mainly made for saying things that you can t say tomorrow day crawling back to you ever thought of calling when youve had a few cause i always do maybe im too busy being yours to fall for somebody new now ive thought it through crawling back to you so have you got the guts been wondering if your hearts still open and if so i wanna know what time it shuts simmer down and pucker up im sorry to interrupt its just im constantly on the cusp of trying to kiss you i dont know if you feel the same as i do we could be together if you wanted to do i wanna know if this feeling flows both ways sad to see you go was sorta hoping that you d stay baby we both know that the nights were mainly made for saying things that you can t say tomorrow day crawling back to you ever thought of calling when youve had a few cause i always do maybe im too busy being yours to fall for somebody new now ive thought it through,0.07,0.17,0.13,0.43,0.2
95,baby you should leave this girl alone but you wont won t wont but you dont don t dont now delete my number from your phone but you wont wont wont you gotta go go go oh my my my gonna spell it right out i dont know what youre looking for but i dont think it s me i wish i could give you my all not good at make believe i don t feel how you feel im just telling it like it is i don t need you to say those words over im just telling it like it is boy man up youre not some animal no no no no no no rather die a thousand times tonight than take you home than take you home these walls i build theyre never coming down i don t know what youre looking for but i dont think its me i wish i could give you my all not good at make believe i dont feel how you feel im just telling it like it is i dont need you to say those words over im just telling it like it is im not messed up baby im not heartless just not ready to start looking for apartments im into shopping but no baby departments bang i tell it like it is im not messed up baby im not heartless just not ready to start looking for apartments im into shopping but no baby departments bang i tell it like it is i tell it like it is cause i dont know what youre looking for but i dont think its me i wish i could give you my all not good at make believe i dont feel how you feel im just telling it like it is i dont need you to say those words over i dont know what youre looking for but i dont think its me i wish i could give you my all not good at make believe i dont feel how you feel im just telling it like it is i dont need you to say those words over im just telling it like it is,0.05,0.18,0.05,0.5,0.21
96,hey mmh yeah ooh ooh yeah why should i go and settle for glitter when i could shine like gold why should i wait around and just sit here when i could save my soul so tonight imma breathe you in til im high imma lose myself to the light til im seeing stars in my eyes i i i do i do what i like lets go have some fun tonight im trying with different lights but you can bet ill try it twice hold my hand its alright well be good for tonight cause were high and were wild and were free hold my hand its alright well be good for tonight cause were high and were wild and were free hey i know it all could be gone in a minute i wanna live out loud no no no i gotta get what i want when i want it and you cant hold me down so tonight imma breathe you in til im high imma lose myself to the light til im seeing stars in my eyes so what we say hey i do i do what i like lets go have some fun tonight im trying with different lights that you can bet ill try it twice hold my hand its alright well be good for tonight cause were high and were wild and were free hold my hand its alright well be good for tonight cause were high and were wild and were free i just wanna have fun when it comes to my vices ill try anything once maybe twice if i like it cause i wanna have fun yeah whatever the price is ill try anything once maybe twice if i like it just wanna have fun when it comes to my vices ill try anything once maybe twice if i like it cause i wanna have fun yeah whatever the price is ill try anything once hold my hand its alright well be good for tonight cause were high and were wild and were free hold my hand its alright well be good for tonight cause were high and were wild and were free lemme hear you say it do what i want when i want when i want it do what i want when i want when i want it do what i want when i want when i want it do what i want when i want when i want it high wild free yeah yeah yeah yeah hey uh uh hey and you can bet ill try it twice,0.28,0.02,0.2,0.2,0.3
